tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
278.00;695504114#4_1;49.75;17.41;215.00;0.84;695504114#1_1;5.10;23.75;tripinfo_147 fcd_147;63.00;147;0;239.51;0.85;0.00;52.76;DEFAULT_VEHTYPE;;1;43.00
285.00;695490087#1_0;110.06;26.13;261.00;0.03;695446624#0_0;5.10;11.28;tripinfo_422 fcd_422;24.00;422;0;176.33;0.97;0.00;16.69;DEFAULT_VEHTYPE;;1;6.00
291.00;39368999#0_1;259.89;32.29;223.00;0.59;695446624#0_0;5.10;13.71;tripinfo_452 fcd_452;68.00;452;0;350.89;1.17;0.00;55.41;DEFAULT_VEHTYPE;;1;41.00
293.00;695490087#1_0;110.06;24.37;279.00;0.55;-695446623#1_0;5.10;20.87;tripinfo_617 fcd_617;14.00;617;0;196.03;1.12;0.00;6.77;DEFAULT_VEHTYPE;;0;0.00
301.00;695490087#1_0;110.06;25.24;285.00;0.82;-695446623#1_0;5.10;20.87;tripinfo_608 fcd_608;16.00;608;0;196.03;0.94;0.00;7.23;DEFAULT_VEHTYPE;;0;0.00
303.00;695490087#1_0;110.06;25.03;295.00;0.99;695446624#0_0;5.10;24.42;tripinfo_408 fcd_408;8.00;408;0;176.33;0.91;0.00;0.47;DEFAULT_VEHTYPE;;0;0.00
310.00;695446623#1_1;50.37;17.14;293.00;0.79;695504114#1_0;5.10;24.51;tripinfo_197 fcd_197;17.00;197;0;248.31;0.88;0.00;4.91;DEFAULT_VEHTYPE;;0;0.00
323.00;695446623#1_1;50.37;16.27;279.00;0.27;-695446623#1_1;5.10;20.87;tripinfo_778 fcd_778;44.00;778;0;128.50;1.02;0.00;38.29;DEFAULT_VEHTYPE;;1;29.00
324.00;695446623#1_0;50.37;20.24;281.00;0.47;-39368999#0_0;5.10;27.42;tripinfo_356 fcd_356;43.00;356;0;387.41;0.99;0.00;28.25;DEFAULT_VEHTYPE;;1;18.00
325.00;695504114#4_0;49.75;15.46;241.00;0.20;695446624#0_0;5.10;13.71;tripinfo_534 fcd_534;84.00;534;0;722.30;1.00;0.00;54.37;DEFAULT_VEHTYPE;;1;26.00
329.00;695504114#4_0;49.75;15.51;244.00;0.06;695446624#0_0;5.10;13.71;tripinfo_511 fcd_511;85.00;511;0;722.30;0.90;0.00;51.83;DEFAULT_VEHTYPE;;1;29.00
331.00;695504114#4_0;49.75;17.40;273.00;0.08;695446624#0_1;5.10;11.28;tripinfo_502 fcd_502;58.00;502;0;722.30;1.08;0.00;30.80;DEFAULT_VEHTYPE;;1;1.00
333.00;695490087#1_2;110.06;23.32;239.00;0.62;695504114#1_0;5.10;27.87;tripinfo_27 fcd_27;94.00;27;0;921.40;1.00;0.00;56.42;DEFAULT_VEHTYPE;;2;27.00
334.00;39368999#0_0;259.89;25.20;303.00;0.08;-695446623#1_0;5.10;20.87;tripinfo_653 fcd_653;31.00;653;0;387.69;0.91;0.00;15.02;DEFAULT_VEHTYPE;;1;5.00
335.00;39368999#0_0;259.89;28.05;307.00;0.70;-695446623#1_0;5.10;19.10;tripinfo_660 fcd_660;28.00;660;0;387.69;1.02;0.00;14.17;DEFAULT_VEHTYPE;;1;2.00
341.00;695504114#4_0;49.75;16.39;321.00;0.34;-39368999#0_0;5.10;26.12;tripinfo_326 fcd_326;20.00;326;0;361.63;0.94;0.00;5.17;DEFAULT_VEHTYPE;;0;0.00
347.00;695504114#4_0;49.75;15.46;328.00;0.14;-39368999#0_0;5.10;28.68;tripinfo_343 fcd_343;19.00;343;0;361.63;1.03;0.00;5.58;DEFAULT_VEHTYPE;;0;0.00
348.00;39368999#0_0;259.89;29.22;323.00;0.18;695504114#1_0;5.10;29.33;tripinfo_98 fcd_98;25.00;98;0;467.13;1.06;0.00;8.22;DEFAULT_VEHTYPE;;0;0.00
352.00;695504114#4_0;49.75;16.84;303.00;0.03;695446624#0_0;5.10;13.71;tripinfo_547 fcd_547;49.00;547;0;722.30;1.04;0.00;20.33;DEFAULT_VEHTYPE;;0;0.00
353.00;39368999#0_0;259.89;26.05;326.00;0.31;695504114#1_1;5.10;26.53;tripinfo_70 fcd_70;27.00;70;0;467.13;0.96;0.00;7.81;DEFAULT_VEHTYPE;;0;0.00
356.00;695446623#1_1;50.37;27.92;341.00;0.27;-39368999#0_1;5.10;27.98;tripinfo_369 fcd_369;15.00;369;0;387.41;1.01;0.00;0.27;DEFAULT_VEHTYPE;;0;0.00
371.00;695490087#1_0;110.06;23.60;315.00;0.62;695446624#0_0;5.10;13.71;tripinfo_413 fcd_413;56.00;413;0;176.33;1.02;0.00;49.45;DEFAULT_VEHTYPE;;1;40.00
372.00;695446623#1_0;50.37;16.82;336.00;0.97;695446624#0_0;5.10;10.95;tripinfo_592 fcd_592;36.00;592;0;101.36;0.98;0.00;30.90;DEFAULT_VEHTYPE;;1;19.00
373.00;695446623#1_1;50.37;18.00;327.00;0.73;695504114#1_1;5.10;27.36;tripinfo_180 fcd_180;46.00;180;0;248.31;0.98;0.00;34.74;DEFAULT_VEHTYPE;;1;23.00
375.00;695446623#1_0;50.37;17.06;341.00;0.20;695446624#0_1;5.10;11.28;tripinfo_581 fcd_581;34.00;581;0;101.36;1.09;0.00;29.66;DEFAULT_VEHTYPE;;2;19.00
377.00;695446623#1_1;50.37;18.70;350.00;0.33;695504114#1_0;5.10;27.73;tripinfo_183 fcd_183;27.00;183;0;248.31;1.00;0.00;16.00;DEFAULT_VEHTYPE;;0;0.00
379.00;695446623#1_0;50.37;17.14;316.00;0.79;695446624#0_1;5.10;13.71;tripinfo_551 fcd_551;63.00;551;0;101.36;0.97;0.00;58.03;DEFAULT_VEHTYPE;;1;49.00
381.00;695446623#1_0;50.37;17.58;362.00;0.40;695446624#0_2;5.10;11.24;tripinfo_556 fcd_556;19.00;556;0;101.36;1.15;0.00;14.77;DEFAULT_VEHTYPE;;2;5.00
384.00;695446623#1_0;50.37;16.70;343.00;0.34;695446624#0_2;5.10;13.71;tripinfo_560 fcd_560;41.00;560;0;101.36;1.03;0.00;36.66;DEFAULT_VEHTYPE;;1;29.00
389.00;39368999#0_0;259.89;27.00;364.00;0.47;695504114#1_0;5.10;27.11;tripinfo_87 fcd_87;25.00;87;0;467.13;0.98;0.00;6.88;DEFAULT_VEHTYPE;;0;0.00
394.00;39368999#0_0;259.89;28.14;369.00;0.22;695504114#1_1;5.10;28.97;tripinfo_83 fcd_83;25.00;83;0;467.13;1.04;0.00;7.56;DEFAULT_VEHTYPE;;0;0.00
403.00;695490087#1_0;110.06;29.80;397.00;0.58;695446624#0_0;5.10;30.31;tripinfo_447 fcd_447;6.00;447;0;176.33;1.09;0.00;0.12;DEFAULT_VEHTYPE;;0;0.00
413.00;39368999#0_0;259.89;22.11;387.00;0.83;695504114#1_1;5.10;28.24;tripinfo_65 fcd_65;26.00;65;0;467.13;1.02;0.00;8.37;DEFAULT_VEHTYPE;;0;0.00
414.00;695446623#1_0;50.37;19.78;369.00;0.69;-39368999#0_0;5.10;27.83;tripinfo_393 fcd_393;45.00;393;0;387.41;1.00;0.00;30.63;DEFAULT_VEHTYPE;;1;21.00
417.00;695504114#4_2;49.75;17.50;375.00;0.30;-695446623#1_0;5.10;20.87;tripinfo_710 fcd_710;42.00;710;0;142.02;1.01;0.00;35.02;DEFAULT_VEHTYPE;;1;22.00
420.00;695490087#1_0;110.06;21.27;396.00;0.83;-695446623#1_0;5.10;19.12;tripinfo_647 fcd_647;24.00;647;0;196.03;0.83;0.00;14.24;DEFAULT_VEHTYPE;;1;3.00
423.00;39368999#0_0;259.89;24.09;390.00;0.92;-695446623#1_0;5.10;20.87;tripinfo_666 fcd_666;33.00;666;0;387.69;0.89;0.00;17.26;DEFAULT_VEHTYPE;;1;7.00
426.00;695490087#1_2;110.06;23.79;358.00;0.87;-39368999#0_0;5.10;26.86;tripinfo_207 fcd_207;68.00;207;0;444.49;0.97;0.00;49.30;DEFAULT_VEHTYPE;;2;38.00
427.00;695490087#1_2;110.06;23.51;354.00;0.91;695504114#1_0;5.10;28.25;tripinfo_49 fcd_49;73.00;49;0;921.40;1.02;0.00;37.55;DEFAULT_VEHTYPE;;2;5.00
429.00;39368999#0_1;259.89;24.32;396.00;0.77;-695446623#1_1;5.10;19.17;tripinfo_690 fcd_690;33.00;690;0;387.69;0.92;0.00;17.05;DEFAULT_VEHTYPE;;1;4.00
429.00;39368999#0_0;259.89;25.25;398.00;0.05;695504114#1_0;5.10;29.36;tripinfo_95 fcd_95;31.00;95;0;467.13;1.06;0.00;14.17;DEFAULT_VEHTYPE;;1;2.00
439.00;695490087#1_2;110.06;25.49;382.00;0.08;695504114#1_0;5.10;28.39;tripinfo_7 fcd_7;57.00;7;0;921.40;1.02;0.00;21.28;DEFAULT_VEHTYPE;;0;0.00
455.00;39368999#0_1;259.89;17.63;423.00;0.62;-39368999#0_0;5.10;30.48;tripinfo_299 fcd_299;32.00;299;0;596.38;1.10;0.00;11.21;DEFAULT_VEHTYPE;;0;0.00
459.00;695490087#1_2;110.06;23.41;430.00;0.33;-39368999#0_0;5.10;26.90;tripinfo_208 fcd_208;29.00;208;0;444.49;0.97;0.00;10.48;DEFAULT_VEHTYPE;;1;1.00
462.00;695490087#1_0;110.06;25.86;410.00;0.21;695446624#0_0;5.10;13.71;tripinfo_444 fcd_444;52.00;444;0;176.33;1.01;0.00;44.91;DEFAULT_VEHTYPE;;1;35.00
462.00;695490087#1_1;110.06;22.65;426.00;0.90;695446624#0_0;5.10;10.95;tripinfo_437 fcd_437;36.00;437;0;176.33;0.96;0.00;29.03;DEFAULT_VEHTYPE;;1;18.00
463.00;695490087#1_0;110.06;23.23;453.00;0.69;695446624#0_0;5.10;16.91;tripinfo_426 fcd_426;10.00;426;0;176.33;1.03;0.00;3.84;DEFAULT_VEHTYPE;;0;0.00
464.00;39368999#0_0;259.89;10.35;442.00;0.30;-695446623#1_0;5.10;20.87;tripinfo_655 fcd_655;22.00;655;0;387.69;1.07;0.00;8.99;DEFAULT_VEHTYPE;;0;0.00
465.00;695490087#1_0;110.06;27.70;457.00;0.39;695446624#0_0;5.10;23.55;tripinfo_445 fcd_445;8.00;445;0;176.33;1.06;0.00;1.70;DEFAULT_VEHTYPE;;0;0.00
472.00;695490087#1_0;110.06;23.22;443.00;0.19;-695446623#1_1;5.10;20.87;tripinfo_649 fcd_649;29.00;649;0;196.03;1.01;0.00;20.75;DEFAULT_VEHTYPE;;1;9.00
473.00;39368999#0_0;259.89;11.32;417.00;0.43;695446624#0_0;5.10;10.95;tripinfo_488 fcd_488;56.00;488;0;350.89;1.12;0.00;43.16;DEFAULT_VEHTYPE;;1;27.00
485.00;695490087#1_0;110.06;23.04;477.00;0.44;695446624#0_0;5.10;24.05;tripinfo_430 fcd_430;8.00;430;0;176.33;0.87;0.00;0.21;DEFAULT_VEHTYPE;;0;0.00
493.00;695446623#1_0;50.37;17.13;483.00;0.96;695446624#0_0;5.10;20.63;tripinfo_591 fcd_591;10.00;591;0;101.36;1.10;0.00;5.41;DEFAULT_VEHTYPE;;0;0.00
502.00;695446623#1_0;50.37;18.92;478.00;0.86;-39368999#0_0;5.10;28.03;tripinfo_351 fcd_351;24.00;351;0;387.41;1.01;0.00;9.98;DEFAULT_VEHTYPE;;0;0.00
505.00;695504114#4_2;49.75;17.63;471.00;0.44;-695446623#1_0;5.10;20.87;tripinfo_749 fcd_749;34.00;749;0;142.02;0.93;0.00;26.50;DEFAULT_VEHTYPE;;1;18.00
507.00;695490087#1_2;110.06;24.47;411.00;0.32;695504114#1_0;5.10;25.18;tripinfo_42 fcd_42;96.00;42;0;921.40;0.91;0.00;55.14;DEFAULT_VEHTYPE;;1;32.00
509.00;695490087#1_2;110.06;22.58;424.00;0.32;695504114#1_0;5.10;29.59;tripinfo_33 fcd_33;85.00;33;0;921.40;1.07;0.00;50.69;DEFAULT_VEHTYPE;;1;22.00
513.00;695490087#1_2;110.06;23.95;465.00;0.84;-39368999#0_0;5.10;26.66;tripinfo_205 fcd_205;48.00;205;0;444.49;0.96;0.00;29.26;DEFAULT_VEHTYPE;;1;16.00
514.00;695490087#1_2;110.06;24.12;434.00;0.13;695504114#1_0;5.10;26.46;tripinfo_30 fcd_30;80.00;30;0;921.40;0.95;0.00;41.41;DEFAULT_VEHTYPE;;1;12.00
517.00;695490087#1_2;110.06;23.07;437.00;0.57;695504114#1_1;5.10;24.83;tripinfo_26 fcd_26;80.00;26;0;921.40;0.89;0.00;39.32;DEFAULT_VEHTYPE;;2;8.00
523.00;695504114#4_2;49.75;17.48;511.00;0.33;-695446623#1_0;5.10;20.87;tripinfo_715 fcd_715;12.00;715;0;142.02;1.00;0.00;4.75;DEFAULT_VEHTYPE;;0;0.00
529.00;39368999#0_1;259.89;25.01;491.00;0.56;-39368999#0_0;5.10;25.61;tripinfo_271 fcd_271;38.00;271;0;596.38;0.92;0.00;12.43;DEFAULT_VEHTYPE;;0;0.00
533.00;695490087#1_2;110.06;23.01;477.00;0.06;695504114#1_0;5.10;30.52;tripinfo_1 fcd_1;56.00;1;0;921.40;1.10;0.00;22.60;DEFAULT_VEHTYPE;;0;0.00
536.00;695504114#4_2;49.75;18.03;524.00;0.76;-695446623#1_0;5.10;20.87;tripinfo_726 fcd_726;12.00;726;0;142.02;0.99;0.00;4.73;DEFAULT_VEHTYPE;;0;0.00
539.00;695446623#1_0;50.37;16.67;528.00;0.71;695446624#0_0;5.10;13.71;tripinfo_569 fcd_569;11.00;569;0;101.36;1.07;0.00;6.38;DEFAULT_VEHTYPE;;0;0.00
542.00;695504114#4_2;49.75;16.55;531.00;0.34;-695446623#1_0;5.10;20.87;tripinfo_706 fcd_706;11.00;706;0;142.02;0.94;0.00;3.65;DEFAULT_VEHTYPE;;0;0.00
551.00;695446623#1_0;50.37;17.24;542.00;0.34;695446624#0_0;5.10;20.20;tripinfo_583 fcd_583;9.00;583;0;101.36;1.03;0.00;4.64;DEFAULT_VEHTYPE;;0;0.00
553.00;695446623#1_1;50.37;16.61;506.00;0.49;695504114#1_0;5.10;32.70;tripinfo_178 fcd_178;47.00;178;0;248.31;1.18;0.00;38.40;DEFAULT_VEHTYPE;;1;23.00
557.00;695490087#1_0;110.06;26.42;547.00;0.56;695446624#0_0;5.10;13.71;tripinfo_402 fcd_402;10.00;402;0;176.33;1.02;0.00;3.57;DEFAULT_VEHTYPE;;0;0.00
584.00;695446623#1_1;50.37;18.91;569.00;0.68;695504114#1_0;5.10;28.01;tripinfo_152 fcd_152;15.00;152;0;248.31;1.01;0.00;4.30;DEFAULT_VEHTYPE;;0;0.00
594.00;695504114#4_2;49.75;16.99;534.00;0.58;-695446623#1_0;5.10;20.87;tripinfo_744 fcd_744;60.00;744;0;142.02;1.10;0.00;53.81;DEFAULT_VEHTYPE;;1;43.00
